Attaching 299 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
16214480 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc138d4cd0 arg2:784 
16214495 µs:   32509  oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
16214510 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc138d4ca0 arg2:32 
16214525 µs:   32509  oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
16214540 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc138d4c50 arg2:68 
16214556 µs:   32509  oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc138d4f80 
16214573 µs:   32509  oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
16214588 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc138d4bd0 arg2:784 
16214604 µs:   32509  oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
16214618 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc138d48b0 arg2:32 
16214634 µs:   32509  oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
16214648 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc138d4890 arg2:68 
16214665 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0 arg1:1844408 arg2:1 arg3:2050 arg4:3 
16214686 µs:   32509  oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:1076989952 arg1:1654784 arg2:0 
16214715 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:1076989952 arg1:1351680 arg2:5 arg3:2066 arg4:3 
16214744 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:1078341632 arg1:299008 arg2:1 arg3:2066 arg4:3 
16214770 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:1078644736 arg1:24576 arg2:3 arg3:2066 arg4:3 
16214803 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:1078669312 arg1:13496 arg2:3 arg3:50 arg4:-1 
16214844 µs:   32509  oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:3 
16214946 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0 arg1:8192 arg2:3 arg3:34 arg4:-1 
16215043 µs:   32509  oggenc         tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:4098 arg1:1076835392 
16215300 µs:   32509  oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:1078644736 arg1:12288 arg2:1 
16215402 µs:   32509  oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:1080803328 arg1:4096 arg2:1 
16215506 µs:   32509  oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:1082138624 arg1:4096 arg2:1 
16215816 µs:   32509  oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:1082564608 arg1:8192 arg2:1 
