Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
15788035 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab638 arg2:832 
15788045 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
15788054 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab230 arg2:784 
15788062 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
15788070 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab200 arg2:32 
15788078 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
15788086 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab1b0 arg2:68 
15788095 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffdbcdab4e0 
15788103 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
15788111 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab130 arg2:784 
15788122 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
15788132 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdaae10 arg2:32 
15788141 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
15788148 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdaadf0 arg2:68 
15788157 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:1844408 arg2:1 arg3:2050 arg4:3 
15788169 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-556220416 arg1:1654784 arg2:0 
15788187 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7ded8c000 arg1:1351680 arg2:5 arg3:2066 arg4:3 
15788204 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7deed6000 arg1:299008 arg2:1 arg3:2066 arg4:3 
15788218 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7def20000 arg1:24576 arg2:3 arg3:2066 arg4:3 
15788236 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7def26000 arg1:13496 arg2:3 arg3:50 arg4:-1 
15788258 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:3 
15788292 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:8192 arg2:3 arg3:34 arg4:-1 
15788321 µs:   9231   oggenc         tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:4098 arg1:-556374976 
15788419 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-554565632 arg1:12288 arg2:1 
15788450 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-552407040 arg1:4096 arg2:1 
15788492 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-551071744 arg1:4096 arg2:1 
15788589 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-550645760 arg1:8192 arg2:1 
15788637 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-548364288 arg1:4096 arg2:1 
15788760 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-545685504 arg1:114688 arg2:1 
15788831 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-879562752 arg1:4096 arg2:1 
