Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
3953598 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953602 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953609 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953614 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953618 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953625 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953630 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953635 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953639 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4c920 arg2:0x7fff43f4c880 arg3:8 
3953648 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4c920 arg2:0x7fff43f4c880 arg3:8 
3953653 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4c920 arg2:0x7fff43f4c880 arg3:8 
3953657 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4c920 arg2:0x7fff43f4c880 arg3:8 
3953706 µs:   31763  zsh                  tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:16384 arg2:3 arg3:34 arg4:-1 
3953921 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4c920 arg2:0x7fff43f4c880 arg3:8 
3953928 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4c920 arg2:0x7fff43f4c880 arg3:8 
3953933 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953938 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953943 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953953 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953958 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953963 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953975 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953979 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953984 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953992 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3953997 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3954001 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3954007 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3954012 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4e080 arg2:0x7fff43f4dfe0 arg3:8 
3954021 µs:   31763  zsh                 tracepoint:syscalls:sys_enter_ioctl [3] arg0:10 arg1:21531 arg2:1140120196 
