Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
6145592 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f84e6373eb0 arg2:524288 arg3:0 
6145624 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe86575518 arg2:832 
6145643 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffe865753c0 
6145667 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:453880 arg2:1 arg3:2050 arg4:3 
6145699 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e6101000 arg1:241664 arg2:5 arg3:2066 arg4:3 
6145728 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e613c000 arg1:94208 arg2:1 arg3:2066 arg4:3 
6145757 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e6153000 arg1:24576 arg2:3 arg3:2066 arg4:3 
6145804 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6145867 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:8192 arg2:3 arg3:34 arg4:-1 
6145904 µs:   11940  gunzip         tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:4098 arg1:-435254400 
6146092 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-432988160 arg1:12288 arg2:1 
6146442 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-434819072 arg1:20480 arg2:1 
6146498 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-432934912 arg1:4096 arg2:1 
6146958 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-432631808 arg1:12288 arg2:1 
6147300 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-1122942976 arg1:12288 arg2:1 
6147340 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-432173056 arg1:4096 arg2:1 
6147366 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_munmap [2] arg0:-432582656 arg1:235491 
6147539 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x558cbd0e81bf arg2:2050 arg3:0 
6147588 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6147752 µs:   11940  gunzip                tracepoint:syscalls:sys_enter_brk [1] arg0:0 
6147772 µs:   11940  gunzip                tracepoint:syscalls:sys_enter_brk [1] arg0:-1119440896 
6147806 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f84e62e7290 arg2:524288 arg3:0 
6147832 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7f84e63175e0 
6147850 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:3346512 arg2:1 arg3:2 arg4:3 
6147884 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6147974 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f84e62e35b8 arg2:0 arg3:0 
6148018 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7ffe86575e80 arg2:524288 arg3:0 
6148041 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffe86575d10 
6148064 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6148192 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6148390 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6148625 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6148855 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6149091 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6149362 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6149676 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6149996 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6150337 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6150689 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6151100 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6151534 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6151769 µs:   11940  gunzip                tracepoint:syscalls:sys_enter_brk [1] arg0:-1119305728 
6152057 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6152436 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x558cbd44b740 arg2:4096 
6152459 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6153865 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getuid [0] 
6153895 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getgid [0] 
6153911 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_geteuid [0] 
6153927 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_getegid [0] 
6153977 µs:   11940  gunzip     tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:(nil) arg2:0x558cbd122cc8 arg3:8 
6154048 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_ioctl [3] arg0:-1 arg1:21519 arg2:-2041094060 
6154080 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_sysinfo [1] arg0:0x7ffe86575dc0 
6154140 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:17 arg1:0x7ffe86575ca0 arg2:0x7ffe86575d40 arg3:8 
6154157 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:17 arg1:0x7ffe86575ca0 arg2:0x7ffe86575d40 arg3:8 
6154172 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:0x7ffe86575ca0 arg2:0x7ffe86575d40 arg3:8 
6154189 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:0x7ffe86575ca0 arg2:0x7ffe86575d40 arg3:8 
6154204 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:3 arg1:0x7ffe86575ca0 arg2:0x7ffe86575d40 arg3:8 
6154221 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:3 arg1:0x7ffe86575ca0 arg2:0x7ffe86575d40 arg3:8 
6154236 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:20 arg1:0x7ffe86575c80 arg2:0x7ffe86575d20 arg3:8 
6154251 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:20 arg1:0x7ffe86575c80 arg2:0x7ffe86575d20 arg3:8 
6154265 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:21 arg1:0x7ffe86575c80 arg2:0x7ffe86575d20 arg3:8 
6154280 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:21 arg1:0x7ffe86575c80 arg2:0x7ffe86575d20 arg3:8 
6154294 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:22 arg1:0x7ffe86575c80 arg2:0x7ffe86575d20 arg3:8 
6154309 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:22 arg1:0x7ffe86575c80 arg2:0x7ffe86575d20 arg3:8 
6154324 µs:   11940  gunzip     tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:(nil) arg2:0x558cbd127740 arg3:8 
6154339 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:3 arg1:0x7ffe86575ca0 arg2:0x7ffe86575d40 arg3:8 
6154356 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_newuname [1] arg0:0x7ffe86575da0 
6154503 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd474610 arg1:0x7ffe86575d50 
6154539 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd0e91ab arg1:0x7ffe86575de0 
6154558 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd475de0 arg1:0x7ffe86575d90 
6154575 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd475de0 arg1:0x7ffe86575d90 
6154591 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd475de0 arg1:0x7ffe86575d90 
6154607 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd475de0 arg1:0x7ffe86575d90 
6154625 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd475de0 arg1:0x7ffe86575d90 
6154642 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd475de0 arg1:0x7ffe86575d90 
6154659 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd475de0 arg1:0x7ffe86575d90 
6154679 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd472cb0 arg1:0x7ffe86575df0 
6154700 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getpid [0] 
6154762 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_getppid [0] 
6154812 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getpid [0] 
6154875 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_getpgrp [0] 
6154895 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_ioctl [3] arg0:2 arg1:21519 arg2:-2041094364 
6154920 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:17 arg1:0x7ffe86575c90 arg2:0x7ffe86575d30 arg3:8 
6154956 µs:   11940  gunzip          tracepoint:syscalls:sys_enter_prlimit64 [4] arg0:0 arg1:6 arg2:(nil) arg3:0x7ffe86575e90 
