Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
7303319 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f33267f3eb0 arg2:524288 arg3:0 
7303334 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc2e715548 arg2:832 
7303343 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc2e7153f0 
7303355 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:453880 arg2:1 arg3:2050 arg4:3 
7303368 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f3326581000 arg1:241664 arg2:5 arg3:2066 arg4:3 
7303382 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f33265bc000 arg1:94208 arg2:1 arg3:2066 arg4:3 
7303396 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f33265d3000 arg1:24576 arg2:3 arg3:2066 arg4:3 
7303417 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
7303449 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:8192 arg2:3 arg3:34 arg4:-1 
7303467 µs:   11523  gunzip         tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:4098 arg1:643206016 
7303567 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:645472256 arg1:12288 arg2:1 
7303745 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:643641344 arg1:20480 arg2:1 
7303772 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:645525504 arg1:4096 arg2:1 
7304006 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:645828608 arg1:12288 arg2:1 
7304172 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:140713984 arg1:12288 arg2:1 
7304189 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:646287360 arg1:4096 arg2:1 
7304204 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_munmap [2] arg0:645877760 arg1:235491 
7304292 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x55b3086061bf arg2:2050 arg3:0 
7304317 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
7304400 µs:   11523  gunzip                tracepoint:syscalls:sys_enter_brk [1] arg0:0 
7304410 µs:   11523  gunzip                tracepoint:syscalls:sys_enter_brk [1] arg0:144310272 
7304425 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f3326767290 arg2:524288 arg3:0 
7304438 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7f33267975e0 
7304448 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:3346512 arg2:1 arg3:2 arg4:3 
7304465 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
7304510 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f33267635b8 arg2:0 arg3:0 
7304528 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7ffc2e715eb0 arg2:524288 arg3:0 
7304543 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc2e715d40 
7304554 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7304621 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7304719 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7304819 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7304932 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7305048 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7305182 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7305338 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7305497 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7305669 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7305843 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7306047 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7306307 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7306428 µs:   11523  gunzip                tracepoint:syscalls:sys_enter_brk [1] arg0:144445440 
7306569 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7306778 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x55b308980740 arg2:4096 
7306789 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
