Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
7615621 µs:   11788  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x55a3f5fb0560 arg2:65536 arg3:0 
7615663 µs:   11788  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:3 arg1:0x55a3f5fb4340 arg2:133376 arg3:0 
7615690 µs:   11788  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:4 arg1:0x55a3f5fb04c0 
7615819 µs:   11788  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:0 
7615838 µs:   11788  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:-148262912 
7615881 µs:   11788  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x55a3f5fb0da0 arg2:0x7fff872b25c0 arg3:8 
7615898 µs:   11788  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:3 arg1:0x55a3f5fe8f40 arg2:193 arg3:384 
7616003 µs:   11788  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:2 arg1:0x7fff872b25c0 arg2:(nil) arg3:8 
7616191 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5fe9340 arg2:65536 
7621552 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7621969 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7624328 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7625802 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7625940 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7627646 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7629076 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7629374 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7630554 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7631707 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7631874 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7632733 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7634034 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7634184 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7634853 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55a3f5ff1340 arg2:32768 
7636045 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
