Attaching 299 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
1481166 µs:   32736  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:25 arg1:0x7ffe388c6f20 arg2:(nil) arg3:8 
1481174 µs:   32736  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x5626ece4c560 arg2:65536 arg3:0 
1481185 µs:   32736  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:3 arg1:0x5626ece50340 arg2:133376 arg3:0 
1481192 µs:   32736  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:4 arg1:0x5626ece4c4c0 
1481228 µs:   32736  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:0 
1481234 µs:   32736  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:-312274944 
1481248 µs:   32736  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x5626ece4cda0 arg2:0x7ffe388c6ba0 arg3:8 
1481255 µs:   32736  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:3 arg1:0x5626ece84f40 arg2:193 arg3:384 
1481286 µs:   32736  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:2 arg1:0x7ffe388c6ba0 arg2:(nil) arg3:8 
1481335 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece85340 arg2:65536 
1485343 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1487796 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1490185 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x5626ece8d340 arg2:32768 
1492216 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
1492494 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
1492750 µs:   32736  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x5626ece80740 arg2:16384 
