Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
3493891 µs:   12048  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:25 arg1:0x7ffcaa8460b0 arg2:(nil) arg3:8 
3493907 µs:   12048  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x55d92220f560 arg2:65536 arg3:0 
3493922 µs:   12048  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:3 arg1:0x55d922213340 arg2:133376 arg3:0 
3493932 µs:   12048  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:4 arg1:0x55d92220f4c0 
3493994 µs:   12048  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:0 
3494004 µs:   12048  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:583974912 
3494025 µs:   12048  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x55d92220fda0 arg2:0x7ffcaa845d30 arg3:8 
3494036 µs:   12048  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:3 arg1:0x55d922247f40 arg2:193 arg3:384 
3494086 µs:   12048  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:2 arg1:0x7ffcaa845d30 arg2:(nil) arg3:8 
3494166 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922248340 arg2:65536 
3496453 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3496624 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3498056 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3499030 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3499192 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3500476 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3501450 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3501627 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3503011 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3504132 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3504291 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3505721 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3506916 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3507079 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3508494 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3509789 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3509974 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3511308 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x55d922250340 arg2:32768 
3512617 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
3512864 µs:   12048  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55d922243740 arg2:16384 
